Kabupaten/Kota,PDRB Per Kapita  Atas Dasar Harga Konstan 2010 (Juta Rupiah),PDRB Atas Dasar Harga Berlaku (juta Rupiah),PDRB Atas Dasar Harga Konstan 2010 (juta Rupiah),Tingkat Pengangguran Terbuka (TPT) Menurut Kabupaten/Kota (Persen)
Buton,25.8,5062656.23,3101735.07,2.48
Muna,25.15,8813691.13,5650868.84,3.27
Konawe,41.72,18295409.02,11244655.64,3.09
Kolaka,83.03,35684210.97,20418779.35,3.36
Konawe Selatan,29.74,16452468.51,9630029.61,3.12
Bombana,33.78,8557367.03,5340692.37,1.16
Wakatobi,30.26,5768101.36,3524001.55,2.73
Kolaka Utara,48.34,11226936.42,7040843.7,2.24
Buton Utara,36.55,4049256.08,2520463.54,1.93
Konawe Utara,45.17,5259787.2,3264058.43,2.76
Kolaka Timur,28.93,5625403.57,3638877.87,2.18
Konawe Kepulauan,29.15,1717400.0,1136610.41,1.59
Muna Barat,23.65,3386985.73,2111977.67,2.22
Buton Tengah,15.84,3025955.83,1892406.01,2.5
Buton Selatan,22.23,3593172.48,2213506.52,4.33
Kendari,51.08,28260099.03,18604824.48,5.18
Baubau,44.84,11521837.0,7449386.16,4.17
