Kabupaten/Kota,akses_sanitasi_pct,rasio_listrik_pct,akses_internet_pct,garis_kemiskinan_rp,penduduk_miskin_jiwa,persen_miskin_pct,sekolah_sma,murid_sma_jiwa,lama_sekolah_th,ipm_l,ipm_p,pdrb_perkapita_jt,pdrb_adhb_jt,pdrb_adhk_jt,tpt_pct,penduduk_jiwa,pertumbuhan_pct,persen_penduduk_pct,kepadatan_km2,rasio_jk,pengeluaran_rp,kedalaman_miskin,keparahan_miskin,gap_ipm,ipm_total,pengeluaran_ribu,gap_gender,rasio_murid_sekolah,Cluster
Buton,80.33,99.59,55.14,302183,14.15,13.77,23,5524,8.49,75.99,62.22,25.8,5062656.23,3101735.07,2.48,120.2,1.56,4.37,72,102.1,793172,1.93,0.37,13.769999999999996,69.10499999999999,793.172,13.769999999999996,240.17391304347825,0
Muna,85.31,99.07,54.47,419071,32.24,14.07,35,9402,8.53,75.98,66.84,25.15,8813691.13,5650868.84,3.27,224.7,1.53,8.17,121,97.0,786420,2.21,0.5,9.14,71.41,786.42,9.14,268.62857142857143,0
Konawe,90.5,99.65,62.38,400581,33.09,13.02,28,8891,9.56,77.8,72.85,41.72,18295409.02,11244655.64,3.09,269.5,1.74,9.8,50,107.0,1264259,2.35,0.6,4.950000000000003,75.32499999999999,1264.259,4.950000000000003,317.5357142857143,2
Kolaka,93.56,99.93,66.79,464000,32.96,11.8,15,6046,9.35,79.57,71.93,83.03,35684210.97,20418779.35,3.36,245.9,1.26,8.95,83,104.3,1245515,1.95,0.5,7.639999999999986,75.75,1245.515,7.639999999999986,403.06666666666666,2
Konawe Selatan,92.36,99.9,63.95,331620,36.84,11.26,29,9874,8.51,74.86,66.3,29.74,16452468.51,9630029.61,3.12,323.8,1.77,11.78,76,105.0,1096657,2.2,0.55,8.560000000000002,70.58,1096.657,8.560000000000002,340.48275862068965,0
Bombana,86.24,99.42,58.42,406706,20.52,10.73,26,5539,8.07,72.77,62.4,33.78,8557367.03,5340692.37,1.16,158.1,1.76,5.75,48,102.3,1072463,2.05,0.55,10.369999999999997,67.585,1072.463,10.369999999999997,213.03846153846155,0
Wakatobi,85.03,99.23,53.79,340151,15.35,14.81,20,4569,8.51,76.13,67.91,30.26,5768101.36,3524001.55,2.73,116.5,1.62,4.24,259,100.8,1116530,3.64,1.22,8.219999999999999,72.02,1116.53,8.219999999999999,228.45,0
Kolaka Utara,92.89,98.67,76.75,517092,21.79,13.57,8,3294,8.81,71.94,70.8,48.34,11226936.42,7040843.7,2.24,145.6,2.07,5.3,50,104.4,1352268,2.93,0.9,1.1400000000000006,71.37,1352.268,1.1400000000000006,411.75,2
Buton Utara,71.64,99.73,58.77,403834,9.09,14.06,11,3166,9.12,73.79,68.18,36.55,4049256.08,2520463.54,1.93,69.0,1.24,2.51,39,104.1,911090,2.13,0.48,5.609999999999999,70.98500000000001,911.09,5.609999999999999,287.8181818181818,0
Konawe Utara,82.74,100.0,69.68,381620,9.01,13.48,11,3032,9.6,76.48,66.58,45.17,5259787.2,3264058.43,2.76,72.3,2.3,2.63,17,106.3,1659872,2.47,0.63,9.900000000000006,71.53,1659.872,9.900000000000006,275.6363636363636,2
Kolaka Timur,93.37,99.57,62.25,513085,20.41,14.04,14,3463,8.4,69.86,69.35,28.93,5625403.57,3638877.87,2.18,125.8,1.51,4.58,32,105.0,1115490,2.49,0.64,0.5100000000000051,69.60499999999999,1115.49,0.5100000000000051,247.35714285714286,0
Konawe Kepulauan,73.71,100.0,58.02,393000,5.44,15.9,6,1518,9.45,73.36,63.15,29.15,1717400.0,1136610.41,1.59,39.0,1.88,1.42,55,103.1,1144920,2.79,0.73,10.21,68.255,1144.92,10.21,253.0,0
Muna Barat,71.66,99.74,62.33,412697,11.81,14.03,13,3315,7.86,71.76,64.16,23.65,3386985.73,2111977.67,2.22,89.3,1.98,3.25,109,98.4,804673,1.92,0.37,7.6000000000000085,67.96000000000001,804.673,7.6000000000000085,255.0,0
Buton Tengah,85.49,99.99,52.88,299593,14.46,15.43,18,4431,7.34,72.35,60.15,15.84,3025955.83,1892406.01,2.5,119.5,1.47,4.35,143,100.6,745755,1.72,0.34,12.199999999999996,66.25,745.755,12.199999999999996,246.16666666666666,0
Buton Selatan,83.7,99.85,51.73,290203,11.88,14.76,16,4019,7.65,74.05,54.83,22.23,3593172.48,2213506.52,4.33,99.6,1.63,3.62,192,102.4,749718,2.0,0.44,19.22,64.44,749.718,19.22,251.1875,0
Kendari,93.77,100.0,85.61,503369,19.24,4.59,28,12115,12.53,87.64,83.94,51.08,28260099.03,18604824.48,5.18,364.2,1.98,13.25,1370,101.6,1686521,0.64,0.13,3.700000000000003,85.78999999999999,1686.521,3.700000000000003,432.67857142857144,1
Baubau,96.99,100.0,76.37,412008,13.29,7.53,12,6004,11.02,82.99,76.18,44.84,11521837.0,7449386.16,4.17,166.2,1.55,6.04,565,99.8,1105237,1.21,0.38,6.809999999999988,79.58500000000001,1105.237,6.809999999999988,500.3333333333333,1
