Kabupaten/Kota,Rata-Rata Pengeluaran per Kapita Sebulan menurut Kabupaten/Kota (Rupiah),Indeks Kedalaman Kemiskinan Menurut Kabupaten/Kota,Indeks Keparahan Kemiskinan Menurut Kabupaten/Kota
Buton,793172,1.93,0.37
Muna,786420,2.21,0.5
Konawe,1264259,2.35,0.6
Kolaka,1245515,1.95,0.5
Konawe Selatan,1096657,2.2,0.55
Bombana,1072463,2.05,0.55
Wakatobi,1116530,3.64,1.22
Kolaka Utara,1352268,2.93,0.9
Buton Utara,911090,2.13,0.48
Konawe Utara,1659872,2.47,0.63
Kolaka Timur,1115490,2.49,0.64
Konawe Kepulauan,1144920,2.79,0.73
Muna Barat,804673,1.92,0.37
Buton Tengah,745755,1.72,0.34
Buton Selatan,749718,2.0,0.44
Kendari,1686521,0.64,0.13
Baubau,1105237,1.21,0.38
