Kabupaten/Kota,Jumlah Penduduk (Ribu),Laju Pertumbuhan Penduduk per Tahun,Persentase Penduduk,Kepadatan Penduduk per km persegi (Km2),Rasio Jenis Kelamin Penduduk
Buton,120.2,1.56,4.37,72,102.1
Muna,224.7,1.53,8.17,121,97
Konawe,269.5,1.74,9.8,50,107
Kolaka,245.9,1.26,8.95,83,104.3
Konawe Selatan,323.8,1.77,11.78,76,105
Bombana,158.1,1.76,5.75,48,102.3
Wakatobi,116.5,1.62,4.24,259,100.8
Kolaka Utara,145.6,2.07,5.3,50,104.4
Buton Utara,69,1.24,2.51,39,104.1
Konawe Utara,72.3,2.3,2.63,17,106.3
Kolaka Timur,125.8,1.51,4.58,32,105
Konawe Kepulauan,39,1.88,1.42,55,103.1
Muna Barat,89.3,1.98,3.25,109,98.4
Buton Tengah,119.5,1.47,4.35,143,100.6
Buton Selatan,99.6,1.63,3.62,192,102.4
Kota Kendari,364.2,1.98,13.25,1370,101.6
Kota Baubau,166.2,1.55,6.04,565,99.8
